state,year,crop,yield_bu_acre
MN,2004,wheat,32.72
MN,2005,corn,157.6
MN,2005,soybean,46.76
MN,2005,wheat,46.43
MN,2006,corn,113.46
MN,2006,soybean,37.68
MN,2006,wheat,41.29
MN,2007,corn,156.82
MN,2007,soybean,34.34
MN,2007,wheat,46.34
MN,2008,corn,148.93
MN,2008,soybean,41.7
MN,2008,wheat,33.06
MN,2009,corn,142.84
MN,2009,soybean,43.13
MN,2009,wheat,40.63
MN,2010,corn,157.68
MN,2010,soybean,49.24
MN,2010,wheat,46.7
MN,2011,corn,196.4
MN,2011,soybean,52.36
MN,2011,wheat,46.64
MN,2012,corn,150.86
MN,2012,soybean,46.15
MN,2012,wheat,43.15
MN,2013,corn,161.9
MN,2013,soybean,43.6
MN,2013,wheat,43.94
MN,2014,corn,164.27
MN,2014,soybean,52.39
MN,2014,wheat,43.27
MN,2015,corn,173.04
MN,2015,soybean,50.12
MN,2015,wheat,49.37
MN,2016,corn,175.02
MN,2016,soybean,43.48
MN,2016,wheat,41.09
MN,2017,corn,146.49
MN,2017,soybean,50.35
MN,2017,wheat,45.06
MN,2018,corn,144.3
MN,2018,soybean,33.86
MN,2018,wheat,37.9
MN,2019,corn,198.84
MN,2019,soybean,54.6
MN,2019,wheat,43.39
MN,2020,corn,206.7
MN,2020,soybean,63.24
MN,2020,wheat,48.29
MN,2021,corn,196.89
MN,2021,soybean,53.57
MN,2021,wheat,47.81
MN,2022,corn,143.16
MN,2022,soybean,35.61
MN,2022,wheat,40.0
MN,2023,corn,199.16
MN,2023,soybean,50.57
MN,2023,wheat,44.88
IN,2000,corn,166.95
IN,2000,soybean,53.96
IN,2000,wheat,34.41
IN,2001,corn,176.66
IN,2001,soybean,50.05
IN,2001,wheat,35.1
IN,2002,corn,127.23
IN,2002,soybean,35.27
IN,2002,wheat,20.55
IN,2003,corn,153.05
IN,2003,soybean,44.39
IN,2003,wheat,35.33
IN,2004,corn,154.47
IN,2004,soybean,47.88
IN,2004,wheat,18.64
IN,2005,corn,148.88
IN,2005,soybean,45.5
IN,2005,wheat,39.73
IN,2006,corn,143.94
IN,2006,soybean,45.28
IN,2006,wheat,18.74
IN,2007,corn,161.49
IN,2007,soybean,50.64
IN,2007,wheat,31.33
IN,2008,corn,190.73
IN,2008,soybean,53.88
IN,2008,wheat,41.63
IN,2009,corn,176.78
IN,2009,soybean,43.41
IN,2009,wheat,34.48
IN,2010,corn,166.29
IN,2010,soybean,49.89
IN,2010,wheat,25.7
IN,2011,corn,182.51
IN,2011,soybean,55.92
IN,2011,wheat,23.16
IN,2012,corn,149.47
IN,2012,soybean,47.1
IN,2012,wheat,31.17
IN,2013,corn,165.13
IN,2013,soybean,53.3
IN,2013,wheat,36.54
IN,2014,corn,180.79
IN,2014,soybean,46.96
IN,2014,wheat,28.92
IN,2015,corn,176.99
IN,2015,soybean,53.39
IN,2015,wheat,33.36
IN,2016,corn,178.47
IN,2016,soybean,50.51
IN,2016,wheat,33.51
IN,2017,corn,111.75
IN,2017,soybean,38.45
IN,2017,wheat,24.47
IN,2018,corn,209.36
IN,2018,soybean,55.89
IN,2018,wheat,23.64
IN,2019,corn,210.96
IN,2019,soybean,56.16
IN,2019,wheat,35.09
IN,2020,corn,190.16
IN,2020,soybean,46.07
IN,2020,wheat,27.61
IN,2021,corn,195.64
IN,2021,soybean,59.11
IN,2021,wheat,22.33
IN,2022,corn,132.27
IN,2022,soybean,48.42
IN,2022,wheat,36.83
IN,2023,corn,211.48
IN,2023,soybean,57.23
IN,2023,wheat,35.56
KS,2000,corn,100.27
KS,2000,soybean,32.05
KS,2000,wheat,31.05
KS,2001,corn,138.73
KS,2001,soybean,39.83
KS,2001,wheat,32.12
KS,2002,corn,84.99
KS,2002,soybean,34.91
KS,2002,wheat,23.17
KS,2003,corn,121.42
KS,2003,soybean,47.43
KS,2003,wheat,15.74
KS,2004,corn,164.72
KS,2004,soybean,45.49
KS,2004,wheat,33.72
KS,2005,corn,136.04
KS,2005,soybean,41.77
KS,2005,wheat,25.44
KS,2006,corn,109.4
KS,2006,soybean,38.22
KS,2006,wheat,28.74
KS,2007,corn,143.92
KS,2007,soybean,48.64
KS,2007,wheat,22.26
KS,2008,corn,144.22
KS,2008,soybean,47.22
KS,2008,wheat,42.4
KS,2009,corn,160.52
KS,2009,soybean,48.28
KS,2009,wheat,41.4
KS,2010,corn,150.28
KS,2010,soybean,44.57
KS,2010,wheat,27.5
KS,2011,corn,127.54
KS,2011,soybean,37.81
KS,2011,wheat,28.71
KS,2012,corn,93.25
KS,2012,soybean,36.59
KS,2012,wheat,21.84
KS,2013,corn,148.23
KS,2013,soybean,43.83
KS,2013,wheat,30.4
KS,2014,corn,136.65
KS,2014,soybean,46.67
KS,2014,wheat,24.8
KS,2015,corn,161.19
KS,2015,soybean,48.87
KS,2015,wheat,33.8
KS,2016,corn,157.37
KS,2016,soybean,46.79
KS,2016,wheat,38.18
KS,2017,corn,140.61
KS,2017,soybean,43.97
KS,2017,wheat,36.69
KS,2018,corn,153.8
KS,2018,soybean,45.31
KS,2018,wheat,30.21
KS,2019,corn,170.95
KS,2019,soybean,55.75
KS,2019,wheat,43.63
KS,2020,corn,143.96
KS,2020,soybean,52.79
KS,2020,wheat,25.71
KS,2021,corn,172.94
KS,2021,soybean,50.05
KS,2021,wheat,37.49
KS,2022,corn,101.9
KS,2022,soybean,36.17
KS,2022,wheat,33.16
KS,2023,corn,171.69
KS,2023,soybean,50.47
KS,2023,wheat,35.64
OH,2000,corn,151.55
OH,2000,soybean,45.33
OH,2000,wheat,25.41
OH,2001,corn,146.16
OH,2001,soybean,45.19
OH,2001,wheat,23.47
OH,2002,corn,79.24
OH,2002,soybean,29.17
OH,2002,wheat,34.05
OH,2003,corn,156.39
OH,2003,soybean,46.83
OH,2003,wheat,27.42
OH,2004,corn,160.22
OH,2004,soybean,49.48
OH,2004,wheat,30.3
OH,2005,corn,196.01
OH,2005,soybean,53.84
OH,2005,wheat,38.11
OH,2006,corn,121.71
OH,2006,soybean,37.68
OH,2006,wheat,29.12
OH,2007,corn,189.73
OH,2007,soybean,55.51
OH,2007,wheat,33.28
OH,2008,corn,167.4
OH,2008,soybean,48.74
OH,2008,wheat,33.93
OH,2009,corn,186.26
OH,2009,soybean,47.09
OH,2009,wheat,34.88
OH,2010,corn,204.24
OH,2010,soybean,51.98
OH,2010,wheat,26.47
OH,2011,corn,190.24
OH,2011,soybean,51.95
OH,2011,wheat,27.87
OH,2012,corn,119.23
OH,2012,soybean,40.05
OH,2012,wheat,24.51
OH,2013,corn,196.21
OH,2013,soybean,54.42
OH,2013,wheat,33.52
OH,2014,corn,186.3
OH,2014,soybean,51.36
OH,2014,wheat,40.45
OH,2015,corn,193.6
OH,2015,soybean,50.67
OH,2015,wheat,41.67
OH,2016,corn,215.56
OH,2016,soybean,62.05
OH,2016,wheat,37.26
OH,2017,corn,176.85
OH,2017,soybean,53.51
OH,2017,wheat,31.0
OH,2018,corn,206.13
OH,2018,soybean,57.77
OH,2018,wheat,43.63
OH,2019,corn,180.11
OH,2019,soybean,53.78
OH,2019,wheat,19.88
OH,2020,corn,194.98
OH,2020,soybean,56.08
OH,2020,wheat,20.96
OH,2021,corn,195.46
OH,2021,soybean,54.0
OH,2021,wheat,26.41
OH,2022,corn,151.3
OH,2022,soybean,48.0
OH,2022,wheat,38.0
OH,2023,corn,222.4
OH,2023,soybean,60.91
OH,2023,wheat,37.54
SD,2000,corn,118.66
SD,2000,soybean,34.86
SD,2000,wheat,35.87
SD,2001,corn,118.55
SD,2001,soybean,35.23
SD,2001,wheat,33.71
SD,2002,corn,92.48
SD,2002,soybean,36.61
SD,2002,wheat,34.65
SD,2003,corn,132.56
SD,2003,soybean,37.16
SD,2003,wheat,38.75
SD,2004,corn,118.24
SD,2004,soybean,31.55
SD,2004,wheat,35.85
SD,2005,corn,144.98
SD,2005,soybean,43.76
SD,2005,wheat,38.77
SD,2006,corn,123.64
SD,2006,soybean,35.6
SD,2006,wheat,39.61
SD,2007,corn,147.81
SD,2007,soybean,45.73
SD,2007,wheat,41.45
SD,2008,corn,170.86
SD,2008,soybean,48.85
SD,2008,wheat,43.58
SD,2009,corn,133.73
SD,2009,soybean,47.64
SD,2009,wheat,42.79
SD,2010,corn,145.89
SD,2010,soybean,35.68
SD,2010,wheat,38.03
SD,2011,corn,155.03
SD,2011,soybean,45.27
SD,2011,wheat,32.05
SD,2012,corn,111.13
SD,2012,soybean,31.42
SD,2012,wheat,41.6
SD,2013,corn,135.11
SD,2013,soybean,41.09
SD,2013,wheat,43.95
SD,2014,corn,136.71
SD,2014,soybean,39.56
SD,2014,wheat,40.4
SD,2015,corn,151.3
SD,2015,soybean,39.8
SD,2015,wheat,32.94
SD,2016,corn,139.77
SD,2016,soybean,38.84
SD,2016,wheat,38.71
SD,2017,corn,89.2
SD,2017,soybean,28.98
SD,2017,wheat,39.27
SD,2018,corn,166.55
SD,2018,soybean,45.59
SD,2018,wheat,47.45
SD,2019,corn,162.62
SD,2019,soybean,47.9
SD,2019,wheat,47.38
SD,2020,corn,160.6
SD,2020,soybean,42.34
SD,2020,wheat,46.02
SD,2021,corn,191.64
SD,2021,soybean,55.21
SD,2021,wheat,44.53
SD,2022,corn,112.31
SD,2022,soybean,37.32
SD,2022,wheat,30.76
SD,2023,corn,153.13
SD,2023,soybean,42.8
SD,2023,wheat,51.37
MO,2000,corn,158.45
MO,2000,soybean,43.4
MO,2000,wheat,24.2
MO,2001,corn,132.69
MO,2001,soybean,37.85
MO,2001,wheat,19.49
MO,2002,corn,107.53
MO,2002,soybean,33.36
MO,2002,wheat,17.45
MO,2003,corn,160.08
MO,2003,soybean,45.26
MO,2003,wheat,28.93
MO,2004,corn,141.76
MO,2004,soybean,45.84
MO,2004,wheat,30.32
MO,2005,corn,167.92
MO,2005,soybean,45.64
MO,2005,wheat,39.51
MO,2006,corn,106.32
MO,2006,soybean,37.08
MO,2006,wheat,19.1
MO,2007,corn,168.29
MO,2007,soybean,48.18
MO,2007,wheat,29.52
MO,2008,corn,149.76
MO,2008,soybean,39.88
MO,2008,wheat,21.14
MO,2009,corn,161.84
MO,2009,soybean,45.72
MO,2009,wheat,24.67
MO,2010,corn,168.3
MO,2010,soybean,49.98
MO,2010,wheat,20.04
MO,2011,corn,173.36
MO,2011,soybean,51.23
MO,2011,wheat,28.48
MO,2012,corn,129.26
MO,2012,soybean,38.61
MO,2012,wheat,26.82
MO,2013,corn,160.03
MO,2013,soybean,49.78
MO,2013,wheat,25.77
MO,2014,corn,156.41
MO,2014,soybean,42.22
MO,2014,wheat,25.34
MO,2015,corn,200.15
MO,2015,soybean,55.15
MO,2015,wheat,32.65
MO,2016,corn,184.06
MO,2016,soybean,51.87
MO,2016,wheat,27.11
MO,2017,corn,92.46
MO,2017,soybean,33.95
MO,2017,wheat,26.16
MO,2018,corn,165.08
MO,2018,soybean,48.94
MO,2018,wheat,23.81
MO,2019,corn,206.55
MO,2019,soybean,59.6
MO,2019,wheat,38.2
MO,2020,corn,175.64
MO,2020,soybean,53.34
MO,2020,wheat,24.14
MO,2021,corn,166.5
MO,2021,soybean,47.65
MO,2021,wheat,27.88
MO,2022,corn,114.79
MO,2022,soybean,43.74
MO,2022,wheat,24.81
MO,2023,corn,202.21
MO,2023,soybean,59.42
MO,2023,wheat,31.82
ND,2000,corn,104.27
ND,2000,soybean,36.13
ND,2000,wheat,43.29
ND,2001,corn,107.54
ND,2001,soybean,31.15
ND,2001,wheat,42.85
ND,2002,corn,58.36
ND,2002,soybean,18.64
ND,2002,wheat,36.01
ND,2003,corn,107.53
ND,2003,soybean,29.54
ND,2003,wheat,47.72
ND,2004,corn,60.28
ND,2004,soybean,17.81
ND,2004,wheat,44.51
ND,2005,corn,97.53
ND,2005,soybean,30.34
ND,2005,wheat,41.66
ND,2006,corn,83.07
ND,2006,soybean,24.66
ND,2006,wheat,34.23
ND,2007,corn,129.03
ND,2007,soybean,28.94
ND,2007,wheat,37.58
ND,2008,corn,100.0
ND,2008,soybean,35.68
ND,2008,wheat,41.15
ND,2009,corn,115.57
ND,2009,soybean,30.72
ND,2009,wheat,40.62
ND,2010,corn,101.43
ND,2010,soybean,34.12
ND,2010,wheat,51.23
ND,2011,corn,104.82
ND,2011,soybean,30.98
ND,2011,wheat,42.91
ND,2012,corn,65.74
ND,2012,soybean,23.34
ND,2012,wheat,45.87
ND,2013,corn,135.77
ND,2013,soybean,31.53
ND,2013,wheat,48.7
ND,2014,corn,156.91
ND,2014,soybean,42.29
ND,2014,wheat,47.77
ND,2015,corn,97.31
ND,2015,soybean,30.27
ND,2015,wheat,48.14
ND,2016,corn,118.64
ND,2016,soybean,37.99
ND,2016,wheat,43.54
ND,2017,corn,97.53
ND,2017,soybean,28.12
ND,2017,wheat,38.97
ND,2018,corn,131.64
ND,2018,soybean,37.14
ND,2018,wheat,52.56
ND,2019,corn,128.06
ND,2019,soybean,31.64
ND,2019,wheat,42.37
ND,2020,corn,156.97
ND,2020,soybean,40.58
ND,2020,wheat,54.35
ND,2021,corn,98.16
ND,2021,soybean,24.39
ND,2021,wheat,44.51
ND,2022,corn,118.6
ND,2022,soybean,33.39
ND,2022,wheat,53.55
ND,2023,corn,160.03
ND,2023,soybean,40.76
ND,2023,wheat,52.88
WI,2000,corn,128.47
WI,2000,soybean,42.08
WI,2000,wheat,36.34
WI,2001,corn,133.53
WI,2001,soybean,40.51
WI,2001,wheat,40.62
WI,2002,corn,120.0
WI,2002,soybean,35.7
WI,2002,wheat,38.25
WI,2003,corn,120.53
WI,2003,soybean,31.27
WI,2003,wheat,48.82
WI,2004,corn,122.93
WI,2004,soybean,31.53
WI,2004,wheat,36.65
WI,2005,corn,158.13
WI,2005,soybean,41.91
WI,2005,wheat,42.46
WI,2006,corn,102.34
WI,2006,soybean,32.51
WI,2006,wheat,31.84
WI,2007,corn,173.91
WI,2007,soybean,51.66
WI,2007,wheat,43.85
WI,2008,corn,153.98
WI,2008,soybean,40.63
WI,2008,wheat,42.23
WI,2009,corn,181.73
WI,2009,soybean,41.13
WI,2009,wheat,40.02
WI,2010,corn,143.18
WI,2010,soybean,39.63
WI,2010,wheat,32.9
WI,2011,corn,157.41
WI,2011,soybean,42.3
WI,2011,wheat,46.89
WI,2012,corn,94.66
WI,2012,soybean,23.45
WI,2012,wheat,42.4
WI,2013,corn,160.27
WI,2013,soybean,40.67
WI,2013,wheat,42.21
WI,2014,corn,174.9
WI,2014,soybean,46.3
WI,2014,wheat,44.11
WI,2015,corn,157.97
WI,2015,soybean,43.76
WI,2015,wheat,45.98
WI,2016,corn,195.87
WI,2016,soybean,42.57
WI,2016,wheat,52.23
WI,2017,corn,121.96
WI,2017,soybean,39.71
WI,2017,wheat,41.03
WI,2018,corn,161.74
WI,2018,soybean,44.12
WI,2018,wheat,52.41
WI,2019,corn,186.16
WI,2019,soybean,50.01
WI,2019,wheat,41.75
WI,2020,corn,186.26
WI,2020,soybean,49.96
WI,2020,wheat,50.82
WI,2021,corn,187.44
WI,2021,soybean,51.02
WI,2021,wheat,33.38
WI,2022,corn,156.65
WI,2022,soybean,44.5
WI,2022,wheat,38.78
WI,2023,corn,208.68
WI,2023,soybean,56.68
WI,2023,wheat,47.96
TX,2000,corn,125.2
TX,2000,soybean,44.81
TX,2000,wheat,20.19
TX,2001,corn,65.89
TX,2001,soybean,34.19
TX,2001,wheat,10.98
TX,2002,corn,65.16
TX,2002,soybean,26.36
TX,2002,wheat,6.49
TX,2003,corn,84.49
TX,2003,soybean,37.43
TX,2003,wheat,12.93
TX,2004,corn,100.26
TX,2004,soybean,29.15
TX,2004,wheat,5.0
TX,2005,corn,111.58
TX,2005,soybean,42.58
TX,2005,wheat,23.87
TX,2006,corn,99.01
TX,2006,soybean,29.73
TX,2006,wheat,15.52
TX,2007,corn,77.25
TX,2007,soybean,29.31
TX,2007,wheat,8.07
TX,2008,corn,72.84
TX,2008,soybean,31.25
TX,2008,wheat,8.09
TX,2009,corn,83.14
TX,2009,soybean,35.99
TX,2009,wheat,13.48
TX,2010,corn,104.06
TX,2010,soybean,38.57
TX,2010,wheat,21.21
TX,2011,corn,116.75
TX,2011,soybean,42.06
TX,2011,wheat,22.07
TX,2012,corn,78.8
TX,2012,soybean,29.94
TX,2012,wheat,13.42
TX,2013,corn,92.75
TX,2013,soybean,39.15
TX,2013,wheat,11.29
TX,2014,corn,115.68
TX,2014,soybean,40.25
TX,2014,wheat,16.05
TX,2015,corn,130.56
TX,2015,soybean,43.81
TX,2015,wheat,15.17
TX,2016,corn,106.43
TX,2016,soybean,36.55
TX,2016,wheat,8.34
TX,2017,corn,52.92
TX,2017,soybean,21.22
TX,2017,wheat,6.54
TX,2018,corn,89.12
TX,2018,soybean,38.03
TX,2018,wheat,14.88
TX,2019,corn,111.73
TX,2019,soybean,45.07
TX,2019,wheat,13.87
TX,2020,corn,152.08
TX,2020,soybean,47.56
TX,2020,wheat,12.98
TX,2021,corn,121.0
TX,2021,soybean,47.64
TX,2021,wheat,28.21
TX,2022,corn,131.33
TX,2022,soybean,38.08
TX,2022,wheat,27.42
TX,2023,corn,116.29
TX,2023,soybean,44.18
TX,2023,wheat,12.78
