state,year,avg_temp_f,max_temp_f,min_temp_f,precip_in,drought_index
MN,2003,65.13,85.11,45.85,28.35,0.884
MN,2004,68.12,88.12,50.13,30.48,1.004
MN,2005,67.5,81.67,52.05,29.37,0.779
MN,2006,66.66,84.6,52.44,27.79,2.03
MN,2007,64.45,83.26,49.02,21.83,0.429
MN,2008,68.33,87.9,49.7,33.81,1.231
MN,2009,67.22,81.97,50.19,34.74,0.737
MN,2010,66.18,81.11,47.77,26.89,0.557
MN,2011,68.51,88.39,50.84,31.37,0.284
MN,2012,67.24,85.49,52.2,26.37,1.329
MN,2013,65.96,82.71,47.25,29.34,0.831
MN,2014,68.0,87.67,52.19,24.83,1.127
MN,2015,67.06,86.7,52.17,29.54,0.84
MN,2016,70.29,85.01,55.49,30.56,1.13
MN,2017,68.06,85.87,51.59,24.87,1.292
MN,2018,64.73,80.63,50.51,28.97,1.475
MN,2019,69.21,86.65,51.82,28.58,0.586
MN,2020,67.96,83.86,49.23,33.72,0.243
MN,2021,67.74,83.91,50.67,35.02,0.737
MN,2022,67.69,84.81,48.89,28.41,2.08
MN,2023,68.74,87.79,54.4,29.0,0.882
IN,2000,70.57,86.45,52.11,38.83,0.0
IN,2001,68.94,85.18,54.02,37.48,0.0
IN,2002,70.31,90.28,51.68,35.25,1.851
IN,2003,68.92,85.25,51.07,39.7,0.816
IN,2004,71.62,86.61,56.63,43.14,1.152
IN,2005,69.82,88.85,49.87,39.33,1.062
IN,2006,73.25,91.78,56.64,42.61,1.548
IN,2007,69.93,89.37,55.66,34.52,0.755
IN,2008,70.53,88.04,53.57,37.25,0.0
IN,2009,70.16,87.98,52.26,39.11,0.436
IN,2010,71.63,87.83,54.4,42.32,0.654
IN,2011,72.16,90.78,53.05,39.7,0.377
IN,2012,69.97,86.02,52.98,34.87,1.532
IN,2013,71.36,90.86,53.57,37.32,0.86
IN,2014,72.53,86.67,52.96,41.92,0.575
IN,2015,69.5,83.54,53.83,36.85,0.576
IN,2016,69.52,87.25,52.66,39.12,0.645
IN,2017,69.98,88.67,50.78,38.85,2.82
IN,2018,69.98,87.3,52.06,45.64,0.011
IN,2019,72.01,90.42,53.51,38.52,0.0
IN,2020,69.91,88.57,52.97,42.84,0.597
IN,2021,69.25,85.72,50.49,44.46,0.249
IN,2022,72.53,91.46,58.31,30.26,2.317
IN,2023,70.36,88.41,52.08,41.56,0.177
KS,2000,71.2,90.01,56.91,23.85,1.98
KS,2001,72.42,86.45,55.33,23.83,1.588
KS,2002,72.49,90.52,57.07,15.68,3.246
KS,2003,76.67,92.47,59.13,24.91,1.286
KS,2004,72.87,88.0,58.37,27.84,0.802
KS,2005,74.15,94.15,58.38,24.82,1.343
KS,2006,70.79,87.14,51.3,30.32,2.705
KS,2007,75.58,89.98,60.37,27.12,1.052
KS,2008,73.53,89.59,57.01,20.08,1.393
KS,2009,72.05,87.76,52.67,20.03,0.754
KS,2010,74.02,91.2,55.57,28.75,1.509
KS,2011,72.39,87.83,56.45,27.22,2.353
KS,2012,73.96,92.67,57.33,26.06,3.262
KS,2013,72.73,91.61,53.31,24.48,1.208
KS,2014,74.6,89.21,56.68,24.51,1.526
KS,2015,73.18,87.4,53.42,23.11,1.087
KS,2016,70.31,84.7,53.58,25.3,1.845
KS,2017,72.15,88.46,57.79,21.26,1.887
KS,2018,74.41,90.78,57.91,25.95,1.681
KS,2019,72.22,86.22,55.17,21.74,0.775
KS,2020,74.66,93.34,55.61,25.66,1.851
KS,2021,70.54,87.42,52.44,31.11,1.513
KS,2022,72.17,88.94,53.9,23.5,3.35
KS,2023,73.54,93.06,59.49,28.72,1.723
OH,2000,67.73,85.45,52.28,43.16,0.092
OH,2001,67.43,81.46,48.31,45.29,0.707
OH,2002,68.82,84.35,49.31,31.77,2.892
OH,2003,72.6,88.77,53.73,41.99,0.756
OH,2004,70.76,86.06,54.28,41.59,0.755
OH,2005,70.65,86.73,56.54,37.05,0.0
OH,2006,72.63,88.53,53.29,40.2,2.013
OH,2007,70.53,88.69,55.49,39.21,0.0
OH,2008,70.21,84.31,50.25,42.13,0.505
OH,2009,70.66,89.95,53.45,35.21,0.44
OH,2010,69.31,86.87,53.54,40.37,0.0
OH,2011,70.21,87.79,54.83,42.59,0.516
OH,2012,68.9,85.28,50.84,40.2,2.351
OH,2013,70.27,90.17,53.75,39.76,0.419
OH,2014,69.68,86.8,53.23,36.8,0.625
OH,2015,69.96,88.06,55.07,35.01,0.308
OH,2016,72.57,91.73,53.1,34.93,0.0
OH,2017,70.64,86.91,53.53,39.66,0.964
OH,2018,71.18,88.6,56.56,37.67,0.199
OH,2019,69.41,84.01,54.19,45.43,0.366
OH,2020,73.37,89.63,55.05,38.67,0.552
OH,2021,71.25,88.9,53.76,36.52,0.888
OH,2022,70.08,85.26,53.82,35.91,2.241
OH,2023,71.28,89.38,55.24,41.33,0.107
SD,2000,65.98,84.5,46.69,18.57,1.632
SD,2001,66.16,83.29,49.35,20.84,1.412
SD,2002,69.08,87.0,52.11,12.53,2.577
SD,2003,67.8,86.38,48.54,21.79,1.679
SD,2004,66.58,86.3,52.15,22.01,1.798
SD,2005,67.57,82.15,48.5,18.08,1.077
SD,2006,68.26,83.23,49.15,17.42,1.92
SD,2007,68.92,85.14,52.49,21.36,1.241
SD,2008,70.5,90.15,55.78,20.21,0.789
SD,2009,68.41,87.49,53.34,22.39,1.522
SD,2010,67.48,85.74,48.37,26.03,1.512
SD,2011,70.29,85.76,55.33,17.97,1.348
SD,2012,68.19,85.13,51.01,20.46,2.784
SD,2013,68.56,83.31,48.85,25.08,1.959
SD,2014,68.92,86.25,53.68,20.69,1.676
SD,2015,69.74,89.24,53.81,22.72,1.78
SD,2016,68.97,86.16,53.84,10.74,1.453
SD,2017,66.18,81.1,46.66,14.99,2.557
SD,2018,70.55,89.32,52.81,20.99,1.463
SD,2019,70.93,90.47,54.3,20.62,1.286
SD,2020,66.79,82.47,52.42,24.24,1.314
SD,2021,68.34,86.13,51.98,23.16,0.9
SD,2022,70.32,88.28,52.72,20.63,3.012
SD,2023,66.66,81.73,48.59,22.31,1.553
MO,2000,71.03,90.39,52.54,42.12,0.679
MO,2001,72.36,88.17,52.67,46.28,1.326
MO,2002,73.56,91.88,56.51,37.57,2.333
MO,2003,73.02,89.08,56.57,42.22,0.801
MO,2004,73.62,91.62,55.68,42.65,0.952
MO,2005,71.45,86.63,52.78,34.21,0.382
MO,2006,73.28,88.93,58.45,38.65,2.404
MO,2007,73.69,88.9,56.43,32.62,0.654
MO,2008,70.23,85.76,52.47,43.66,1.275
MO,2009,73.6,91.71,59.46,38.15,0.799
MO,2010,74.73,91.39,55.11,42.37,0.418
MO,2011,74.75,91.69,56.96,37.33,0.456
MO,2012,74.18,93.24,54.31,31.54,2.431
MO,2013,73.61,90.49,56.87,45.15,0.86
MO,2014,74.07,89.61,56.55,39.46,1.382
MO,2015,72.89,92.05,57.88,39.79,0.371
MO,2016,74.2,93.23,59.37,39.31,0.354
MO,2017,71.37,86.52,56.44,41.76,3.114
MO,2018,72.81,92.69,58.39,39.47,0.973
MO,2019,73.75,93.06,55.77,35.11,0.183
MO,2020,74.61,91.16,57.3,40.03,1.118
MO,2021,73.99,93.94,53.99,39.77,1.432
MO,2022,75.13,91.04,58.37,38.48,2.567
MO,2023,74.53,90.65,55.81,35.25,0.482
ND,2000,65.82,81.75,47.33,17.05,0.739
ND,2001,63.7,78.56,44.42,21.97,1.055
ND,2002,62.69,77.0,48.68,13.94,2.44
ND,2003,63.85,81.76,44.91,17.66,1.102
ND,2004,61.2,80.14,43.97,15.6,1.753
ND,2005,63.94,82.37,48.4,18.13,1.164
ND,2006,66.62,82.82,51.3,14.42,2.756
ND,2007,65.21,79.73,50.15,21.57,1.612
ND,2008,64.54,84.48,49.71,16.03,1.479
ND,2009,64.47,83.72,44.62,9.42,0.633
ND,2010,62.69,80.62,46.95,12.72,0.806
ND,2011,63.18,82.15,44.92,16.56,1.055
ND,2012,61.75,77.31,45.24,16.19,1.961
ND,2013,63.39,79.7,47.76,19.46,0.672
ND,2014,65.69,83.75,51.29,17.96,0.649
ND,2015,64.08,81.96,49.05,17.51,1.813
ND,2016,65.97,85.58,51.61,24.77,1.984
ND,2017,63.3,78.58,48.7,12.3,2.001
ND,2018,65.22,80.03,46.06,15.64,0.915
ND,2019,63.43,79.58,47.84,21.1,1.004
ND,2020,64.44,84.02,49.84,13.18,0.476
ND,2021,61.59,76.32,42.47,17.84,1.716
ND,2022,65.87,80.13,49.46,19.12,2.295
ND,2023,65.59,84.43,50.57,14.07,0.726
WI,2000,66.12,82.51,48.61,32.09,0.828
WI,2001,66.9,81.52,47.7,28.5,1.273
WI,2002,67.53,85.33,47.97,23.35,1.74
WI,2003,63.92,80.63,46.51,29.21,0.721
WI,2004,65.12,81.05,49.05,31.87,1.296
WI,2005,65.5,83.84,49.17,34.79,0.421
WI,2006,66.05,85.01,46.48,31.29,2.393
WI,2007,68.4,88.07,52.04,33.31,0.351
WI,2008,66.31,80.54,48.23,33.27,0.513
WI,2009,67.99,87.1,51.01,34.79,0.624
WI,2010,66.7,82.68,47.43,39.01,0.93
WI,2011,66.62,81.59,47.97,24.55,0.703
WI,2012,64.21,83.35,49.09,25.23,2.387
WI,2013,63.54,82.4,46.65,31.12,0.0
WI,2014,65.1,81.64,48.88,30.78,0.128
WI,2015,67.65,86.68,51.95,33.98,1.334
WI,2016,66.28,83.4,49.49,36.17,0.296
WI,2017,66.56,84.28,52.32,32.57,2.186
WI,2018,64.41,79.24,49.27,25.43,0.17
WI,2019,67.89,84.32,49.04,38.51,0.787
WI,2020,67.62,86.85,49.82,29.21,0.771
WI,2021,67.35,84.56,47.39,40.08,0.731
WI,2022,68.05,87.47,53.78,31.08,1.589
WI,2023,67.3,86.31,52.36,30.68,0.397
TX,2000,77.43,93.81,60.76,25.21,1.107
TX,2001,79.24,94.38,63.53,18.06,2.331
TX,2002,79.41,98.39,59.56,21.22,2.825
TX,2003,78.07,96.85,60.8,22.62,1.916
TX,2004,80.2,98.43,63.31,20.89,1.734
TX,2005,75.72,92.07,61.18,18.2,1.935
TX,2006,77.27,94.94,63.06,21.97,2.298
TX,2007,80.85,96.16,63.76,24.01,1.236
TX,2008,79.94,94.23,65.01,20.28,1.568
TX,2009,79.29,98.76,62.06,21.97,2.005
TX,2010,77.76,95.47,58.58,26.41,2.347
TX,2011,77.19,92.55,60.56,25.4,1.811
TX,2012,78.13,93.22,62.2,20.56,3.006
TX,2013,79.61,94.98,61.28,24.61,1.692
TX,2014,77.19,91.83,60.2,22.83,1.767
TX,2015,77.91,97.88,60.99,25.92,1.534
TX,2016,79.06,96.62,63.7,21.5,1.916
TX,2017,80.72,100.1,63.86,18.51,3.785
TX,2018,78.48,97.17,61.91,21.6,2.72
TX,2019,78.79,94.88,60.82,25.37,1.51
TX,2020,77.5,94.06,58.63,22.14,1.285
TX,2021,76.83,92.12,58.36,22.38,2.25
TX,2022,75.61,94.97,59.97,27.45,2.644
TX,2023,78.26,93.44,62.51,23.97,1.846
