state,year,total_cropland_acres
SD,2008,17130805
SD,2009,17531103
SD,2010,16947480
SD,2011,17131993
SD,2012,17471843
SD,2013,17381442
SD,2014,17070718
SD,2015,17242531
SD,2016,17217944
SD,2017,17279784
SD,2018,17124313
SD,2019,17242984
SD,2020,16995984
SD,2021,17308956
SD,2022,17377049
SD,2023,17273427
MO,2000,13773892
MO,2001,14149705
MO,2002,14073515
MO,2003,13931713
MO,2004,14005390
MO,2005,13845065
MO,2006,13922953
MO,2007,14002684
MO,2008,14262679
MO,2009,14010624
MO,2010,14202346
MO,2011,14047172
MO,2012,14169445
MO,2013,14125598
MO,2014,14280396
MO,2015,14092227
MO,2016,13956228
MO,2017,13994295
MO,2018,14126064
MO,2019,14035273
MO,2020,14282348
MO,2021,14168896
MO,2022,14584695
MO,2023,14009843
ND,2000,27054980
ND,2001,26716809
ND,2002,26909768
ND,2003,27103074
ND,2004,26456540
ND,2005,27172198
ND,2006,27645851
ND,2007,27028086
ND,2008,27243397
ND,2009,27473121
ND,2010,27171378
ND,2011,27079360
ND,2012,26638852
ND,2013,27455667
ND,2014,27271502
ND,2015,27047294
ND,2016,27380218
ND,2017,27207463
ND,2018,27244070
ND,2019,27576586
ND,2020,27064854
ND,2021,27741125
ND,2022,27091182
ND,2023,27314578
WI,2000,9173065
WI,2001,9108743
WI,2002,9023198
WI,2003,8936749
WI,2004,8981013
WI,2005,9042621
WI,2006,9046593
WI,2007,9042175
WI,2008,9054807
WI,2009,9045367
WI,2010,8941183
WI,2011,9032304
WI,2012,9169506
WI,2013,8969169
WI,2014,9083548
WI,2015,9033336
WI,2016,9125349
WI,2017,9086947
WI,2018,9264480
WI,2019,9183085
WI,2020,9024048
WI,2021,9212625
WI,2022,9087454
WI,2023,9112714
TX,2000,24075316
TX,2001,23901086
TX,2002,24253028
TX,2003,23871271
TX,2004,23927777
TX,2005,23937840
TX,2006,23978795
TX,2007,24399683
TX,2008,24305476
TX,2009,24586141
TX,2010,24740588
TX,2011,23961651
TX,2012,24247462
TX,2013,23964376
TX,2014,24080084
TX,2015,24134965
TX,2016,24050235
TX,2017,24070513
TX,2018,24310473
TX,2019,24068348
TX,2020,24589344
TX,2021,24179238
TX,2022,25108564
TX,2023,24331274
