bbl,borough,block,lot,address,zonedist1,lotarea,bldgarea,builtfar,residfar,commfar,facilfar,numfloors,latitude,longitude
1000000052,MN,3,13,SAMPLE LOT 52,M1-2,2317.0,2966.0,1.28,0.0,2.0,2.0,2.0,40.7516,-73.98039999999999
1000000053,MN,3,14,SAMPLE LOT 53,M1-6,5243.0,36229.0,6.91,0.0,10.0,10.0,8.0,40.7516,-73.97959999999999
1000000054,MN,3,15,SAMPLE LOT 54,M1-6,3412.0,25829.0,7.57,0.0,10.0,10.0,9.0,40.7516,-73.97879999999999
1000000055,MN,3,16,SAMPLE LOT 55,M1-5,2360.0,6112.0,2.59,0.0,5.0,5.0,3.0,40.7516,-73.978
1000000056,MN,3,17,SAMPLE LOT 56,C6-4,6036.0,30965.0,5.13,0.0,10.0,10.0,6.0,40.7516,-73.9772
1000000057,MN,3,18,SAMPLE LOT 57,M1-6,3589.0,10875.0,3.03,0.0,10.0,10.0,4.0,40.7516,-73.9764
1000000058,MN,3,19,SAMPLE LOT 58,C5-3,6102.0,29534.0,4.84,0.0,15.0,15.0,6.0,40.7516,-73.9756
1000000059,MN,3,20,SAMPLE LOT 59,C6-2,3870.0,15286.0,3.95,0.0,6.0,6.0,5.0,40.7516,-73.9748
1000000060,MN,4,1,SAMPLE LOT 60,C6-2,1871.0,3929.0,2.1,0.0,6.0,6.0,3.0,40.7524,-73.99
1000000061,MN,4,2,SAMPLE LOT 61,C6-2,3724.0,9645.0,2.59,0.0,6.0,6.0,3.0,40.7524,-73.9892
1000000062,MN,4,3,SAMPLE LOT 62,C6-2,4148.0,12859.0,3.1,0.0,6.0,6.0,4.0,40.7524,-73.9884
1000000063,MN,4,4,SAMPLE LOT 63,M1-5,7824.0,13536.0,1.73,0.0,5.0,5.0,2.0,40.7524,-73.9876
1000000064,MN,4,5,SAMPLE LOT 64,M2-3,2121.0,1357.0,0.64,0.0,2.0,2.0,1.0,40.7524,-73.98679999999999
1000000065,MN,4,6,SAMPLE LOT 65,M1-5,3891.0,17548.0,4.51,0.0,5.0,5.0,5.0,40.7524,-73.98599999999999
1000000066,MN,4,7,SAMPLE LOT 66,M2-3,1198.0,1402.0,1.17,0.0,2.0,2.0,1.0,40.7524,-73.98519999999999
1000000067,MN,4,8,SAMPLE LOT 67,M1-2,6311.0,5491.0,0.87,0.0,2.0,2.0,1.0,40.7524,-73.9844
1000000068,MN,4,9,SAMPLE LOT 68,C5-3,1876.0,21405.0,11.41,0.0,15.0,15.0,14.0,40.7524,-73.9836
1000000069,MN,4,10,SAMPLE LOT 69,M1-5,1130.0,1729.0,1.53,0.0,5.0,5.0,2.0,40.7524,-73.9828
1000000070,MN,4,11,SAMPLE LOT 70,C6-2,3838.0,10593.0,2.76,0.0,6.0,6.0,3.0,40.7524,-73.982
1000000071,MN,4,12,SAMPLE LOT 71,M1-6,8674.0,80148.0,9.24,0.0,10.0,10.0,11.0,40.7524,-73.9812
1000000072,MN,4,13,SAMPLE LOT 72,C6-4,1376.0,12150.0,8.83,0.0,10.0,10.0,11.0,40.7524,-73.98039999999999
1000000073,MN,4,14,SAMPLE LOT 73,C6-2,1868.0,7995.0,4.28,0.0,6.0,6.0,5.0,40.7524,-73.97959999999999
1000000074,MN,4,15,SAMPLE LOT 74,M1-5,2377.0,4279.0,1.8,0.0,5.0,5.0,2.0,40.7524,-73.97879999999999
1000000075,MN,4,16,SAMPLE LOT 75,C6-4,1814.0,9197.0,5.07,0.0,10.0,10.0,6.0,40.7524,-73.978
1000000076,MN,4,17,SAMPLE LOT 76,C5-3,5217.0,24885.0,4.77,0.0,15.0,15.0,6.0,40.7524,-73.9772
1000000077,MN,4,18,SAMPLE LOT 77,C5-3,2273.0,15093.0,6.64,0.0,15.0,15.0,8.0,40.7524,-73.9764
1000000078,MN,4,19,SAMPLE LOT 78,C6-2,2414.0,4587.0,1.9,0.0,6.0,6.0,2.0,40.7524,-73.9756
1000000079,MN,4,20,SAMPLE LOT 79,M1-5,6017.0,11492.0,1.91,0.0,5.0,5.0,2.0,40.7524,-73.9748
1000000080,MN,5,1,SAMPLE LOT 80,M1-5,2357.0,8391.0,3.56,0.0,5.0,5.0,4.0,40.7532,-73.99
1000000081,MN,5,2,SAMPLE LOT 81,C5-3,5415.0,29674.0,5.48,0.0,15.0,15.0,7.0,40.7532,-73.9892
1000000082,MN,5,3,SAMPLE LOT 82,C6-2,2027.0,4885.0,2.41,0.0,6.0,6.0,3.0,40.7532,-73.9884
1000000083,MN,5,4,SAMPLE LOT 83,M1-5,1712.0,7584.0,4.43,0.0,5.0,5.0,5.0,40.7532,-73.9876
1000000084,MN,5,5,SAMPLE LOT 84,C6-4,1107.0,5734.0,5.18,0.0,10.0,10.0,6.0,40.7532,-73.98679999999999
1000000085,MN,5,6,SAMPLE LOT 85,C6-2,14719.0,45629.0,3.1,0.0,6.0,6.0,4.0,40.7532,-73.98599999999999
1000000086,MN,5,7,SAMPLE LOT 86,C6-2,3197.0,6842.0,2.14,0.0,6.0,6.0,3.0,40.7532,-73.98519999999999
1000000087,MN,5,8,SAMPLE LOT 87,M1-6,4745.0,38767.0,8.17,0.0,10.0,10.0,10.0,40.7532,-73.9844
1000000088,MN,5,9,SAMPLE LOT 88,M2-3,3914.0,5793.0,1.48,0.0,2.0,2.0,2.0,40.7532,-73.9836
1000000089,MN,5,10,SAMPLE LOT 89,M1-5,4474.0,14675.0,3.28,0.0,5.0,5.0,4.0,40.7532,-73.9828
1000000090,MN,5,11,SAMPLE LOT 90,M1-2,4142.0,5799.0,1.4,0.0,2.0,2.0,2.0,40.7532,-73.982
1000000091,MN,5,12,SAMPLE LOT 91,C6-4,15211.0,55520.0,3.65,0.0,10.0,10.0,4.0,40.7532,-73.9812
1000000092,MN,5,13,SAMPLE LOT 92,M2-3,1933.0,1817.0,0.94,0.0,2.0,2.0,1.0,40.7532,-73.98039999999999
1000000093,MN,5,14,SAMPLE LOT 93,C6-2,1345.0,5488.0,4.08,0.0,6.0,6.0,5.0,40.7532,-73.97959999999999
1000000094,MN,5,15,SAMPLE LOT 94,M1-6,1970.0,18104.0,9.19,0.0,10.0,10.0,11.0,40.7532,-73.97879999999999
1000000095,MN,5,16,SAMPLE LOT 95,C6-4,1571.0,13055.0,8.31,0.0,10.0,10.0,10.0,40.7532,-73.978
1000000096,MN,5,17,SAMPLE LOT 96,M1-2,6747.0,9648.0,1.43,0.0,2.0,2.0,2.0,40.7532,-73.9772
1000000097,MN,5,18,SAMPLE LOT 97,M1-6,7103.0,45246.0,6.37,0.0,10.0,10.0,8.0,40.7532,-73.9764
1000000098,MN,5,19,SAMPLE LOT 98,M1-2,2041.0,1265.0,0.62,0.0,2.0,2.0,1.0,40.7532,-73.9756
1000000099,MN,5,20,SAMPLE LOT 99,M1-5,1511.0,6633.0,4.39,0.0,5.0,5.0,5.0,40.7532,-73.9748
1000000100,MN,6,1,SAMPLE LOT 100,C5-3,3120.0,16068.0,5.15,0.0,15.0,15.0,6.0,40.754,-73.99
1000000101,MN,6,2,SAMPLE LOT 101,C6-2,10592.0,24362.0,2.3,0.0,6.0,6.0,3.0,40.754,-73.9892
1000000102,MN,6,3,SAMPLE LOT 102,M2-3,556.0,834.0,1.5,0.0,2.0,2.0,2.0,40.754,-73.9884
1000000103,MN,6,4,SAMPLE LOT 103,M3-1,5783.0,9600.0,1.66,0.0,2.0,2.0,2.0,40.754,-73.9876
1000000104,MN,6,5,SAMPLE LOT 104,C6-4,1884.0,15279.0,8.11,0.0,10.0,10.0,10.0,40.754,-73.98679999999999
1000000105,MN,6,6,SAMPLE LOT 105,M1-6,8286.0,49219.0,5.94,0.0,10.0,10.0,7.0,40.754,-73.98599999999999
1000000106,MN,6,7,SAMPLE LOT 106,C6-2,1881.0,4684.0,2.49,0.0,6.0,6.0,3.0,40.754,-73.98519999999999
1000000107,MN,6,8,SAMPLE LOT 107,C6-2,3276.0,6355.0,1.94,0.0,6.0,6.0,2.0,40.754,-73.9844
1000000108,MN,6,9,SAMPLE LOT 108,M1-6,1394.0,11891.0,8.53,0.0,10.0,10.0,10.0,40.754,-73.9836
1000000109,MN,6,10,SAMPLE LOT 109,M3-1,2018.0,3774.0,1.87,0.0,2.0,2.0,2.0,40.754,-73.9828
1000000110,MN,6,11,SAMPLE LOT 110,C6-4,10553.0,48438.0,4.59,0.0,10.0,10.0,6.0,40.754,-73.982
1000000111,MN,6,12,SAMPLE LOT 111,C5-3,7104.0,91926.0,12.94,0.0,15.0,15.0,16.0,40.754,-73.9812
1000000112,MN,6,13,SAMPLE LOT 112,M1-5,3020.0,8486.0,2.81,0.0,5.0,5.0,3.0,40.754,-73.98039999999999
1000000113,MN,6,14,SAMPLE LOT 113,C5-3,2175.0,16400.0,7.54,0.0,15.0,15.0,9.0,40.754,-73.97959999999999
1000000114,MN,6,15,SAMPLE LOT 114,M1-2,1063.0,1339.0,1.26,0.0,2.0,2.0,2.0,40.754,-73.97879999999999
1000000115,MN,6,16,SAMPLE LOT 115,C6-4,3037.0,9263.0,3.05,0.0,10.0,10.0,4.0,40.754,-73.978
1000000116,MN,6,17,SAMPLE LOT 116,C6-4,3914.0,23014.0,5.88,0.0,10.0,10.0,7.0,40.754,-73.9772
1000000117,MN,6,18,SAMPLE LOT 117,M1-5,3771.0,8108.0,2.15,0.0,5.0,5.0,3.0,40.754,-73.9764
1000000118,MN,6,19,SAMPLE LOT 118,M2-3,3746.0,5731.0,1.53,0.0,2.0,2.0,2.0,40.754,-73.9756
1000000119,MN,6,20,SAMPLE LOT 119,C6-4,1824.0,11436.0,6.27,0.0,10.0,10.0,8.0,40.754,-73.9748
1000000120,MN,7,1,SAMPLE LOT 120,M1-2,3819.0,6607.0,1.73,0.0,2.0,2.0,2.0,40.7548,-73.99
1000000121,MN,7,2,SAMPLE LOT 121,C6-2,3893.0,20633.0,5.3,0.0,6.0,6.0,6.0,40.7548,-73.9892
1000000122,MN,7,3,SAMPLE LOT 122,C6-4,9872.0,49952.0,5.06,0.0,10.0,10.0,6.0,40.7548,-73.9884
1000000123,MN,7,4,SAMPLE LOT 123,M3-1,14776.0,14185.0,0.96,0.0,2.0,2.0,1.0,40.7548,-73.9876
1000000124,MN,7,5,SAMPLE LOT 124,C6-2,3634.0,19842.0,5.46,0.0,6.0,6.0,7.0,40.7548,-73.98679999999999
1000000125,MN,7,6,SAMPLE LOT 125,M1-5,2339.0,7344.0,3.14,0.0,5.0,5.0,4.0,40.7548,-73.98599999999999
1000000126,MN,7,7,SAMPLE LOT 126,M1-5,3822.0,6918.0,1.81,0.0,5.0,5.0,2.0,40.7548,-73.98519999999999
1000000127,MN,7,8,SAMPLE LOT 127,M1-6,2614.0,8626.0,3.3,0.0,10.0,10.0,4.0,40.7548,-73.9844
1000000128,MN,7,9,SAMPLE LOT 128,M1-5,2379.0,11229.0,4.72,0.0,5.0,5.0,6.0,40.7548,-73.9836
1000000129,MN,7,10,SAMPLE LOT 129,M1-6,3839.0,25952.0,6.76,0.0,10.0,10.0,8.0,40.7548,-73.9828
1000000130,MN,7,11,SAMPLE LOT 130,C5-3,1927.0,9693.0,5.03,0.0,15.0,15.0,6.0,40.7548,-73.982
1000000131,MN,7,12,SAMPLE LOT 131,C6-2,6114.0,23172.0,3.79,0.0,6.0,6.0,5.0,40.7548,-73.9812
1000000132,MN,7,13,SAMPLE LOT 132,M1-6,3719.0,23355.0,6.28,0.0,10.0,10.0,8.0,40.7548,-73.98039999999999
1000000133,MN,7,14,SAMPLE LOT 133,M1-5,4765.0,13914.0,2.92,0.0,5.0,5.0,4.0,40.7548,-73.97959999999999
1000000134,MN,7,15,SAMPLE LOT 134,C5-3,3519.0,48457.0,13.77,0.0,15.0,15.0,17.0,40.7548,-73.97879999999999
1000000135,MN,7,16,SAMPLE LOT 135,M2-3,2404.0,4399.0,1.83,0.0,2.0,2.0,2.0,40.7548,-73.978
1000000136,MN,7,17,SAMPLE LOT 136,C5-3,2060.0,11783.0,5.72,0.0,15.0,15.0,7.0,40.7548,-73.9772
1000000137,MN,7,18,SAMPLE LOT 137,M3-1,3388.0,2710.0,0.8,0.0,2.0,2.0,1.0,40.7548,-73.9764
1000000138,MN,7,19,SAMPLE LOT 138,M3-1,2724.0,3078.0,1.13,0.0,2.0,2.0,1.0,40.7548,-73.9756
1000000139,MN,7,20,SAMPLE LOT 139,C6-4,4712.0,39675.0,8.42,0.0,10.0,10.0,10.0,40.7548,-73.9748
1000000140,MN,8,1,SAMPLE LOT 140,C6-4,3988.0,28115.0,7.05,0.0,10.0,10.0,8.0,40.7556,-73.99
1000000141,MN,8,2,SAMPLE LOT 141,C6-2,1541.0,7166.0,4.65,0.0,6.0,6.0,6.0,40.7556,-73.9892
1000000142,MN,8,3,SAMPLE LOT 142,M2-3,4192.0,5659.0,1.35,0.0,2.0,2.0,2.0,40.7556,-73.9884
1000000143,MN,8,4,SAMPLE LOT 143,C6-4,1563.0,6830.0,4.37,0.0,10.0,10.0,5.0,40.7556,-73.9876
1000000144,MN,8,5,SAMPLE LOT 144,M2-3,2598.0,4313.0,1.66,0.0,2.0,2.0,2.0,40.7556,-73.98679999999999
1000000145,MN,8,6,SAMPLE LOT 145,C5-3,3255.0,15103.0,4.64,0.0,15.0,15.0,6.0,40.7556,-73.98599999999999
1000000146,MN,8,7,SAMPLE LOT 146,M1-2,936.0,1413.0,1.51,0.0,2.0,2.0,2.0,40.7556,-73.98519999999999
1000000147,MN,8,8,SAMPLE LOT 147,M2-3,4265.0,3625.0,0.85,0.0,2.0,2.0,1.0,40.7556,-73.9844
1000000148,MN,8,9,SAMPLE LOT 148,M3-1,4446.0,5380.0,1.21,0.0,2.0,2.0,1.0,40.7556,-73.9836
1000000149,MN,8,10,SAMPLE LOT 149,C5-3,3581.0,50170.0,14.01,0.0,15.0,15.0,17.0,40.7556,-73.9828
1000000150,MN,8,11,SAMPLE LOT 150,M1-5,2972.0,9659.0,3.25,0.0,5.0,5.0,4.0,40.7556,-73.982
1000000151,MN,8,12,SAMPLE LOT 151,C6-4,3080.0,10380.0,3.37,0.0,10.0,10.0,4.0,40.7556,-73.9812
1000000152,MN,8,13,SAMPLE LOT 152,C6-2,2019.0,7006.0,3.47,0.0,6.0,6.0,4.0,40.7556,-73.98039999999999
1000000153,MN,8,14,SAMPLE LOT 153,C6-2,3312.0,14507.0,4.38,0.0,6.0,6.0,5.0,40.7556,-73.97959999999999
1000000154,MN,8,15,SAMPLE LOT 154,C6-2,2717.0,5488.0,2.02,0.0,6.0,6.0,2.0,40.7556,-73.97879999999999
1000000155,MN,8,16,SAMPLE LOT 155,C5-3,4265.0,29684.0,6.96,0.0,15.0,15.0,8.0,40.7556,-73.978
1000000156,MN,8,17,SAMPLE LOT 156,M1-6,1722.0,5373.0,3.12,0.0,10.0,10.0,4.0,40.7556,-73.9772
1000000157,MN,8,18,SAMPLE LOT 157,M1-6,4717.0,30708.0,6.51,0.0,10.0,10.0,8.0,40.7556,-73.9764
1000000158,MN,8,19,SAMPLE LOT 158,M1-5,4422.0,12116.0,2.74,0.0,5.0,5.0,3.0,40.7556,-73.9756
1000000159,MN,8,20,SAMPLE LOT 159,M1-2,3623.0,4529.0,1.25,0.0,2.0,2.0,2.0,40.7556,-73.9748
1000000160,MN,9,1,SAMPLE LOT 160,M1-5,2941.0,7235.0,2.46,0.0,5.0,5.0,3.0,40.7564,-73.99
1000000161,MN,9,2,SAMPLE LOT 161,C5-3,5888.0,64179.0,10.9,0.0,15.0,15.0,13.0,40.7564,-73.9892
1000000162,MN,9,3,SAMPLE LOT 162,C6-4,1247.0,5150.0,4.13,0.0,10.0,10.0,5.0,40.7564,-73.9884
1000000163,MN,9,4,SAMPLE LOT 163,M1-5,5521.0,24568.0,4.45,0.0,5.0,5.0,5.0,40.7564,-73.9876
1000000164,MN,9,5,SAMPLE LOT 164,C6-2,4742.0,26271.0,5.54,0.0,6.0,6.0,7.0,40.7564,-73.98679999999999
1000000165,MN,9,6,SAMPLE LOT 165,M2-3,4878.0,6049.0,1.24,0.0,2.0,2.0,1.0,40.7564,-73.98599999999999
1000000166,MN,9,7,SAMPLE LOT 166,C6-2,5231.0,18936.0,3.62,0.0,6.0,6.0,4.0,40.7564,-73.98519999999999
1000000167,MN,9,8,SAMPLE LOT 167,C6-2,2531.0,13035.0,5.15,0.0,6.0,6.0,6.0,40.7564,-73.9844
1000000168,MN,9,9,SAMPLE LOT 168,M1-6,3336.0,16280.0,4.88,0.0,10.0,10.0,6.0,40.7564,-73.9836
1000000169,MN,9,10,SAMPLE LOT 169,C5-3,6248.0,77038.0,12.33,0.0,15.0,15.0,15.0,40.7564,-73.9828
1000000170,MN,9,11,SAMPLE LOT 170,M2-3,5407.0,5245.0,0.97,0.0,2.0,2.0,1.0,40.7564,-73.982
1000000171,MN,9,12,SAMPLE LOT 171,C6-2,4623.0,21312.0,4.61,0.0,6.0,6.0,6.0,40.7564,-73.9812
1000000172,MN,9,13,SAMPLE LOT 172,C6-2,1386.0,4297.0,3.1,0.0,6.0,6.0,4.0,40.7564,-73.98039999999999
1000000173,MN,9,14,SAMPLE LOT 173,M1-5,5829.0,20168.0,3.46,0.0,5.0,5.0,4.0,40.7564,-73.97959999999999
1000000174,MN,9,15,SAMPLE LOT 174,M1-2,9070.0,16326.0,1.8,0.0,2.0,2.0,2.0,40.7564,-73.97879999999999
1000000175,MN,9,16,SAMPLE LOT 175,M2-3,8110.0,5434.0,0.67,0.0,2.0,2.0,1.0,40.7564,-73.978
1000000176,MN,9,17,SAMPLE LOT 176,C6-4,4712.0,38874.0,8.25,0.0,10.0,10.0,10.0,40.7564,-73.9772
1000000177,MN,9,18,SAMPLE LOT 177,C6-4,1344.0,8763.0,6.52,0.0,10.0,10.0,8.0,40.7564,-73.9764
1000000178,MN,9,19,SAMPLE LOT 178,C6-2,7737.0,25377.0,3.28,0.0,6.0,6.0,4.0,40.7564,-73.9756
1000000179,MN,9,20,SAMPLE LOT 179,M1-5,3608.0,9525.0,2.64,0.0,5.0,5.0,3.0,40.7564,-73.9748
1000000180,MN,10,1,SAMPLE LOT 180,C5-3,679.0,3517.0,5.18,0.0,15.0,15.0,6.0,40.7572,-73.99
1000000181,MN,10,2,SAMPLE LOT 181,C6-4,5209.0,24378.0,4.68,0.0,10.0,10.0,6.0,40.7572,-73.9892
1000000182,MN,10,3,SAMPLE LOT 182,C6-4,1407.0,9919.0,7.05,0.0,10.0,10.0,8.0,40.7572,-73.9884
1000000183,MN,10,4,SAMPLE LOT 183,M3-1,1614.0,1178.0,0.73,0.0,2.0,2.0,1.0,40.7572,-73.9876
1000000184,MN,10,5,SAMPLE LOT 184,C5-3,2565.0,28292.0,11.03,0.0,15.0,15.0,13.0,40.7572,-73.98679999999999
1000000185,MN,10,6,SAMPLE LOT 185,M1-2,9748.0,18034.0,1.85,0.0,2.0,2.0,2.0,40.7572,-73.98599999999999
1000000186,MN,10,7,SAMPLE LOT 186,M1-2,3085.0,5800.0,1.88,0.0,2.0,2.0,2.0,40.7572,-73.98519999999999
1000000187,MN,10,8,SAMPLE LOT 187,M1-2,4836.0,8511.0,1.76,0.0,2.0,2.0,2.0,40.7572,-73.9844
1000000188,MN,10,9,SAMPLE LOT 188,M1-5,13597.0,56020.0,4.12,0.0,5.0,5.0,5.0,40.7572,-73.9836
1000000189,MN,10,10,SAMPLE LOT 189,M1-5,12208.0,25393.0,2.08,0.0,5.0,5.0,2.0,40.7572,-73.9828
1000000190,MN,10,11,SAMPLE LOT 190,M1-5,3721.0,17303.0,4.65,0.0,5.0,5.0,6.0,40.7572,-73.982
1000000191,MN,10,12,SAMPLE LOT 191,C6-2,3378.0,8749.0,2.59,0.0,6.0,6.0,3.0,40.7572,-73.9812
1000000192,MN,10,13,SAMPLE LOT 192,M1-2,1655.0,2863.0,1.73,0.0,2.0,2.0,2.0,40.7572,-73.98039999999999
1000000193,MN,10,14,SAMPLE LOT 193,C6-2,2460.0,12841.0,5.22,0.0,6.0,6.0,6.0,40.7572,-73.97959999999999
1000000194,MN,10,15,SAMPLE LOT 194,M1-5,5387.0,18962.0,3.52,0.0,5.0,5.0,4.0,40.7572,-73.97879999999999
1000000195,MN,10,16,SAMPLE LOT 195,C6-2,5277.0,20211.0,3.83,0.0,6.0,6.0,5.0,40.7572,-73.978
